Cluster_ID	NRPSPKS_ID	annotation	aSDomain	score	evalue	domain_type	subtype	domain_start	domain_end	KR activity	KR stereochemistry	NRPSPredictor2	Stachelhaus	Minowa	pkssignature	consensus
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom01	521.0	6.00E-159	PKS_KS		3727	4948							
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom02	56.6	5.80E-18	ACP		6052	6232							
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom03	493.4	1.40E-150	PKS_KS		6343	7603							
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom04	163.2	1.80E-50	PKS_DH		8872	9403							
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_KR1	184.9	3.30E-57	PKS_KR		10366	10903	active	?					
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom05	67.5	2.30E-21	ACP		11197	11398							
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom06	495.4	3.60E-151	PKS_KS		11509	12769							
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_AT1	347.1	2.20E-106	PKS_AT		13153	14071					mal	mal	redmal
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom07	168.5	4.00E-52	PKS_DH		14302	14803							
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom08	321.7	1.10E-98	PKS_ER		15823	16750							
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_KR2	176.6	1.20E-54	PKS_KR		16777	17314	active	?					
BGC0001763.1_c1	ctg1_orf00007	Type I Modular PKS	nrpspksdomains_ctg1_orf00007_Xdom09	83.2	2.90E-26	ACP		17629	17845							
BGC0001763.1_c1	ctg1_orf00009	PKS/NRPS-like protein	nrpspksdomains_ctg1_orf00009_Xdom01	175.1	7.60E-54	Thioesterase		18191	18851							
BGC0001763.1_c1	ctg1_orf00012	PKS/NRPS-like protein	nrpspksdomains_ctg1_orf00012_Xdom01	171.7	6.30E-53	Aminotran_1_2		19750	20725							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_A1	365.1	9.60E-112	AMP-binding		31617	32850			phe,trp	arg	trp		nrp
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom01	82.7	3.90E-26	PCP		33099	33306							
